# Token pairs extracted from pools.csv
# Format: token0,token1
0x0000000047c33cf8b5531d6b38d762763e47cf65,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000049a39d7ed06c191f11944381112d8eb7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000006aed1f173905919729e44f0d7b5c0cb7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000007a58f5f58e697e51ab0357bc9e260a04,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x000000008084a73fa6f738a63754ca8cf6701b50,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0000000081b714395b43259829cca8bc600f78d0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000008ec81ae97c4f0d453b608b315c08f40e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000914a8f4f1b79b5de6d324ca64350970d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000955797642509d525b33922dbb191cf93,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000a15fe6875e700d7c1ebbca2367219955,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000a9964d8fd2b3704bba1c3193431d3b98,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000ac69b40134e31f02fb411703f51e7f43,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000bdc126a7d8d0a6d3844843959fffa423,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000dc4d50275f55e47f596dac6061c04e0a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000e6f46442b287ed48e4db9d5c7c652dae,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000ed2f49bb097e6d6085e161b74cf146b3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0xdac17f958d2ee523a2206206994597c13d831ec7
0x00000000fec51d48cf55fa4bca51ebfc1784db69,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000000c396558ffbab5ea628f39658bdf61345b3,0xfd0205066521550d7d7ab19da8f72bb004b4c341
0x0000206329b97db379d5e1bf586bbdb969c63274,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8
0x000386bd15b5f27c89fae8373190c605186eef6d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00040c409cad1da188b7025d88f693b76e37ae91,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000d2406a68333dda10de35a466e0d0631e5327a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000e6515259d4d0585ff0fce328bff39b7b92cf9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x000ebb788b359be23b7c2fd2834eddb63db02401,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x00154eb10dd99e26c697c4b0cacd2bea95b1842c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0018c0a49a5678e9915b32e8934f57f9d5c11f34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x001a7479e1e16e6f11f8f1cbdab328507aa7223e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x001af02e595ec5b2ac1af0c42dc0c53319e2f8a9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x001d0de0178d012550f02bbbd2932747c53c9b20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
