liquidity_pool_address,token_pair,fee_tier_bps,protocol_fee_assigned,meets_vol_cut,meets_lp_fees_cut,meets_marketshare_cut,L60d_volume_usd,volume_rank,L60d_lp_fees_usd,lp_fees_rank,uniswap_marketshare,unique_key,annualized_revenue_contribution
0x000ba527862e5b82cff0f7c66b646af023274aa1,SAFE-WETH,30.0,0.166666,yes,yes,yes,3875599.7384245787,163,11626.799215273744,195,1.0,0x5afe3855358e112b5647b952709e6165e1c1eeee-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11788.23538457795
0x000ba527862e5b82cff0f7c66b646af023274aa1,SAFE-WETH,30.0,0.166666,yes,yes,yes,3541155.6461003465,163,10623.466938301039,195,1.0,0x5afe3855358e112b5647b952709e6165e1c1eeee-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10770.972006161526
0xbb0eccb680ff8b2cbbb239b200cc6f9927b4aacb,SAFE-WETH,100.0,0.166666,yes,yes,yes,1183.9312141720143,163,11.839312141720141,195,1.0,0x5afe3855358e112b5647b952709e6165e1c1eeee-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12.003699017589236
0xbb0eccb680ff8b2cbbb239b200cc6f9927b4aacb,SAFE-WETH,100.0,0.166666,yes,yes,yes,1847.3818936702746,163,18.473818936702745,195,1.0,0x5afe3855358e112b5647b952709e6165e1c1eeee-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18.73032483366904
0x2dc8fbafc10da100f2f12807b93cbb3e5ff7e6b0,BIO-VITA,100.0,0.166666,no,yes,yes,1239231.163316372,312,12392.311633163721,197,1.0,0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321-0xcb1592591996765ec0efc1f92599a19767ee5ffa,12564.37681480493
0x2dc8fbafc10da100f2f12807b93cbb3e5ff7e6b0,BIO-VITA,100.0,0.166666,no,yes,yes,976671.6708741281,312,9766.716708741282,197,1.0,0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321-0xcb1592591996765ec0efc1f92599a19767ee5ffa,9902.325942456037
0x970a7749ecaa4394c8b2bf5f2471f41fd6b79288,USDC-wM,1.0,0.25,yes,yes,yes,121186730.89834468,22,12118.673089834463,198,1.0,0x437cc33344a0b27a429f795ff6b469c72698b291-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,18430.481990789915
0x970a7749ecaa4394c8b2bf5f2471f41fd6b79288,USDC-wM,1.0,0.25,yes,yes,yes,98777776.03210333,22,9877.777603210337,198,1.0,0x437cc33344a0b27a429f795ff6b469c72698b291-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15022.453438215722
0xfffdaee13021272115f9f8e8cdfc54989ee1e875,SIMPLE-WETH,100.0,0.166666,no,yes,yes,1109198.4164003818,313,11091.98416400383,199,1.0,0x69842d50741838cd975584b856908dd0c03ee21b-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11245.994515456996
0xfffdaee13021272115f9f8e8cdfc54989ee1e875,SIMPLE-WETH,100.0,0.166666,no,yes,yes,1072936.5303773286,313,10729.365303773291,199,1.0,0x69842d50741838cd975584b856908dd0c03ee21b-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10878.340752788634
0xfeb09c7e130a4b87b27ebd648ec485657b688b34,BYTES-WETH,100.0,0.166666,no,yes,yes,1089237.835693193,315,10892.378356931931,200,0.9999963808297657,0xa19f5264f7d7be11c451c093d8f92592820bea86-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11043.617215021539
0xfeb09c7e130a4b87b27ebd648ec485657b688b34,BYTES-WETH,100.0,0.166666,no,yes,yes,1080930.533338098,315,10809.30533338098,200,0.9999963808297657,0xa19f5264f7d7be11c451c093d8f92592820bea86-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10959.390736384086
0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f,NEXO-WETH,30.0,0.166666,yes,yes,yes,3937944.9372310312,165,11813.834811693096,201,0.9986810946149332,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11977.867939080987
0x4c54ff7f1c424ff5487a32aad0b48b19cbaf087f,NEXO-WETH,30.0,0.166666,yes,yes,yes,3217088.016075287,165,9651.264048225865,201,0.9986810946149332,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9785.270240991473
0xbf85f94d3233ee588f0907a9147fbb59d7246b54,MYRIA-WETH,30.0,0.166666,yes,yes,yes,3602557.4571464583,166,10807.672371439377,202,1.0,0xa0ef786bf476fe0810408caba05e536ac800ff86-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10957.735101038086
0xbf85f94d3233ee588f0907a9147fbb59d7246b54,MYRIA-WETH,30.0,0.166666,yes,yes,yes,3508520.638031433,166,10525.561914094304,202,1.0,0xa0ef786bf476fe0810408caba05e536ac800ff86-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10671.707587011184
0xc3abd8c07f0d669906f4be495389f2dcc598020f,ATOS-WETH,100.0,0.166666,no,yes,yes,1220383.7366046614,316,12203.837366046619,203,1.0,0x4d0528598f916fd1d8dc80e5f54a8feedcfd4b18-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12373.285613901282
0xc3abd8c07f0d669906f4be495389f2dcc598020f,ATOS-WETH,100.0,0.166666,no,yes,yes,903768.1940650434,316,9037.68194065043,203,1.0,0x4d0528598f916fd1d8dc80e5f54a8feedcfd4b18-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9163.168648116038
